市場,銘柄コード,銘柄名
us,AAPL,Apple
us,MSFT,Microsoft
us,GOOGL,Alphabet (Class A)
us,AMZN,Amazon.com
us,NVDA,NVIDIA
us,META,Meta Platforms
us,BRK.B,Berkshire Hathaway
us,LLY,Eli Lilly
us,TSLA,Tesla
us,AVGO,Broadcom
us,JPM,JP Morgan Chase
us,V,Visa
us,XOM,Exxon Mobil
us,UNH,UnitedHealth Group
us,WMT,Walmart
us,MA,Mastercard
us,JNJ,Johnson & Johnson
us,PG,Procter & Gamble
us,COST,Costco Wholesale
us,HD,Home Depot
us,MRK,Merck & Co.
us,ABBV,AbbVie
us,ADBE,Adobe
us,CRM,Salesforce
us,PEP,PepsiCo
us,CVX,Chevron
us,MCD,McDonald's
us,AMD,Advanced Micro Devices
us,ACN,Accenture
us,LIN,Linde
us,ORCL,Oracle
us,AMGN,Amgen
us,TMO,Thermo Fisher Scientific
us,TXN,Texas Instruments
us,DIS,Walt Disney
us,NEE,NextEra Energy
us,PM,Philip Morris International
us,CSCO,Cisco Systems
us,ABT,Abbott Laboratories
us,DHR,Danaher
us,WFC,Wells Fargo
us,NKE,Nike
us,BMY,Bristol-Myers Squibb
us,UPS,United Parcel Service
us,SPGI,S&P Global
us,MS, Morgan Stanley
us,INTU,Intuit
us,RTX,RTX Corporation
us,ELV,Elevance Health
us,UNP,Union Pacific
us,LOW,Lowe's
